timestamp,exchange,symbol,timeframe,setups,direction,close,volume,atr_pct,high_volatility,mtf_confirmed,score
2026-03-20T06:52:33.951278+00:00,BINGX,ACU/USDT:USDT,4h,rsi_oversold,mixed,0.0848,490501.8,3.151773621410641,True,True,2
2026-03-20T06:52:37.245990+00:00,BINGX,ACX/USDT:USDT,15m,rsi_oversold,mixed,0.042,140671.7,0.7088230463386298,True,True,2
2026-03-20T06:52:38.719448+00:00,BINGX,ADA/USDT,1h,bearish_engulfing,bearish,0.2706,162996.92,0.8475677784553067,True,True,2
2026-03-20T06:52:40.654221+00:00,BINGX,ADA/USDT:USDT,1h,bearish_engulfing,bearish,0.27056,1019923.0,0.8680991851408159,True,True,2
2026-03-20T06:52:50.447148+00:00,BINGX,AEVO/USDT:USDT,5m,bullish_engulfing,bullish,0.02527,485631.781,0.23003775400972193,False,False,1
2026-03-20T06:52:56.550714+00:00,BINGX,AGLD/USDT:USDT,4h,bearish_engulfing,bearish,0.2414,978203.0,2.4955902141764326,True,True,2
2026-03-20T06:53:12.812818+00:00,BINGX,AIOT/USDT:USDT,4h,"bullish_engulfing,rsi_oversold",bullish,0.01556,2111170.83,5.801491671438325,True,True,3
2026-03-20T06:53:15.790445+00:00,BINGX,AITECH/USDT,4h,bearish_engulfing,bearish,0.005671,1566294.4,2.0183232514043525,True,True,2
2026-03-20T06:53:20.098261+00:00,BINGX,AIXBT/USDT:USDT,15m,rsi_overbought,mixed,0.02429,1504508.81,0.7862684945910458,True,True,2
2026-03-20T06:53:25.171223+00:00,BINGX,AKE/USDT:USDT,4h,bullish_engulfing,bullish,0.0002367,168868093.0,4.187359315696047,True,True,2
2026-03-20T06:53:28.771867+00:00,BINGX,AKT/USDT:USDT,4h,bullish_engulfing,bullish,0.5222,168572.572,5.211683479013176,True,True,2
2026-03-20T06:53:45.678778+00:00,BINGX,ALLO/USDT:USDT,5m,bullish_engulfing,bullish,0.1127,147370.186,0.3932293773202348,False,False,1
2026-03-20T06:53:46.428108+00:00,BINGX,ALLO/USDT:USDT,1h,rsi_oversold,mixed,0.1127,2128431.642,1.1899676529840046,True,True,2
2026-03-20T06:53:46.815069+00:00,BINGX,ALLO/USDT:USDT,4h,rsi_oversold,mixed,0.1127,6871293.989,2.8036194645033437,True,True,2
2026-03-20T06:53:50.842584+00:00,BINGX,ALPACA/USDT,4h,rsi_oversold,mixed,0.001311,2607145.0,12.782471035896458,True,True,2
2026-03-20T06:53:55.545012+00:00,BINGX,ALT/USDT,5m,bullish_engulfing,bullish,0.00752,103661.27,0.21365503748541192,False,False,1
2026-03-20T06:53:55.792621+00:00,BINGX,ALT/USDT,1h,bullish_engulfing,bullish,0.00752,484737.91,1.034630262009342,True,True,2
2026-03-20T06:53:56.170864+00:00,BINGX,ALT/USDT,4h,bearish_engulfing,bearish,0.00752,912790.15,2.422727847971105,True,True,2
2026-03-20T06:53:57.102106+00:00,BINGX,ALT/USDT:USDT,5m,bullish_engulfing,bullish,0.0075,679893.74,0.20325993210043342,False,False,1
2026-03-20T06:53:57.775828+00:00,BINGX,ALT/USDT:USDT,1h,bullish_engulfing,bullish,0.0075,9791126.97,1.103613499560732,True,True,2
2026-03-20T06:53:57.897934+00:00,BINGX,ALT/USDT:USDT,4h,bearish_engulfing,bearish,0.0075,31486282.93,2.538544653351337,True,True,2
2026-03-20T06:54:00.872863+00:00,BINGX,AMP/USDT,4h,rsi_oversold,mixed,0.001279,14993947.0,1.518520243638954,True,True,2
2026-03-20T06:54:06.837989+00:00,BINGX,ANIME/USDT:USDT,5m,bearish_engulfing,bearish,0.004872,3694959.99,0.2777546244246412,False,False,1
2026-03-20T06:54:09.486100+00:00,BINGX,ANKR/USDT,4h,bearish_engulfing,bearish,0.00476,2419168.2,5.464407375909881,True,True,2
2026-03-20T06:54:10.106928+00:00,BINGX,ANKR/USDT:USDT,3m,bullish_engulfing,bullish,0.004754,189258.0,0.2067744242261044,False,False,1
2026-03-20T06:54:11.184045+00:00,BINGX,ANKR/USDT:USDT,4h,bearish_engulfing,bearish,0.004754,8669304.0,4.2862240028051115,True,True,2
2026-03-20T06:54:13.980120+00:00,BINGX,APE/USDT:USDT,15m,bearish_engulfing,bearish,0.0953,130277.0,0.4718689379912263,False,False,1
2026-03-20T06:54:14.865313+00:00,BINGX,APEPE/USDT,1m,rsi_oversold,mixed,1.28e-06,9881832.0,0.14856230777991192,False,False,1
2026-03-20T06:54:15.235057+00:00,BINGX,APEPE/USDT,3m,rsi_oversold,mixed,1.28e-06,9881832.0,0.17962140282342656,False,False,1
2026-03-20T06:54:15.608582+00:00,BINGX,APEPE/USDT,5m,rsi_oversold,mixed,1.28e-06,9881832.0,0.14996205332342114,False,False,1
2026-03-20T06:54:16.108825+00:00,BINGX,APEPE/USDT,1h,bearish_engulfing,bearish,1.28e-06,39936132825.0,0.41704702861355725,False,False,1
